id_cita;cita_es;cita_la;cita_original;autor_es;referencia;autor_la;bio_es;bio_la;codigo;idioma_es;idioma_la;nacion_es;nacion_la;epoca_es;epoca_la;imagen;imagen_atr
274;Trinidad una naturaleza, tres personas;Trinitas una natura, tres personae;Trinitas una natura, tres personae;San Basilio Magno;De Spiritu Sancto, 6;Basilius Magnus;Obispo de Cesarea, Doctor de la Iglesia y Padre Capadocio. Hermano de San Gregorio de Nisa, organizador del monaquismo oriental y defensor de la ortodoxia nicena.;Episcopus Caesariensis, Doctor Ecclesiae et Pater Cappadocius. Frater Sancti Gregorii Nysseni, monasticismi orientalis organizator et orthodoxiae Nicaenae defensor.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/3y7fTRWM/sanbasilio.png;0
275;Las buenas obras son fruto de la fe;Bona opera fructus fidei;Bona opera fructus fidei;San Basilio Magno;De Spiritu Sancto, 4;Basilius Magnus;Obispo de Cesarea, Doctor de la Iglesia y Padre Capadocio. Hermano de San Gregorio de Nisa, organizador del monaquismo oriental y defensor de la ortodoxia nicena.;Episcopus Caesariensis, Doctor Ecclesiae et Pater Cappadocius. Frater Sancti Gregorii Nysseni, monasticismi orientalis organizator et orthodoxiae Nicaenae defensor.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/3y7fTRWM/sanbasilio.png;0
276;La vida contemplativa es el sumo bien;Vita contemplativa summum bonum;Vita contemplativa summum bonum;San Basilio Magno;Regulae Fusius Dispositae, 10;Basilius Magnus;Obispo de Cesarea, Doctor de la Iglesia y Padre Capadocio. Hermano de San Gregorio de Nisa, organizador del monaquismo oriental y defensor de la ortodoxia nicena.;Episcopus Caesariensis, Doctor Ecclesiae et Pater Cappadocius. Frater Sancti Gregorii Nysseni, monasticismi orientalis organizator et orthodoxiae Nicaenae defensor.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/3y7fTRWM/sanbasilio.png;0
277;Teólogo es el que ora;Theologus est qui orat;Θεολόγος ὁ προσευχόμενος;San Gregorio Nacianceno;Orationes, 1,1;Gregorius Nazianzenus;"Arzobispo de Constantinopla, Doctor de la Iglesia y Padre Capadocio. Llamado ""el Teólogo"", gran orador y defensor de la Trinidad. Uno de los tres Padres Capadocios.";"Archiepiscopus Constantinopolitanus, Doctor Ecclesiae et Pater Cappadocius. ""Theologus"" vocatus, orator magnus et defensor Trinitatis. Unus ex tribus Patribus Cappadociis.";la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/whvy5Lhm/sangregorioana.png;0
278;La Trinidad es una luz;Trinitas lumen unum;Trinitas lumen unum;San Gregorio Nacianceno;Orationes, 2,4;Gregorius Nazianzenus;"Arzobispo de Constantinopla, Doctor de la Iglesia y Padre Capadocio. Llamado ""el Teólogo"", gran orador y defensor de la Trinidad. Uno de los tres Padres Capadocios.";"Archiepiscopus Constantinopolitanus, Doctor Ecclesiae et Pater Cappadocius. ""Theologus"" vocatus, orator magnus et defensor Trinitatis. Unus ex tribus Patribus Cappadociis.";la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/whvy5Lhm/sangregorioana.png;0
279;El silencio es alabanza de Dios;Silentium Dei laus est;Silentium Dei laus est;San Gregorio Nacianceno;Orationes, 3,5;Gregorius Nazianzenus;"Arzobispo de Constantinopla, Doctor de la Iglesia y Padre Capadocio. Llamado ""el Teólogo"", gran orador y defensor de la Trinidad. Uno de los tres Padres Capadocios.";"Archiepiscopus Constantinopolitanus, Doctor Ecclesiae et Pater Cappadocius. ""Theologus"" vocatus, orator magnus et defensor Trinitatis. Unus ex tribus Patribus Cappadociis.";la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/whvy5Lhm/sangregorioana.png;0
280;Cristo es pan vivo del cielo;Christus panis vivus de caelo;Christus panis vivus de caelo;San Gregorio Nacianceno;Orationes, 4,6;Gregorius Nazianzenus;"Arzobispo de Constantinopla, Doctor de la Iglesia y Padre Capadocio. Llamado ""el Teólogo"", gran orador y defensor de la Trinidad. Uno de los tres Padres Capadocios.";"Archiepiscopus Constantinopolitanus, Doctor Ecclesiae et Pater Cappadocius. ""Theologus"" vocatus, orator magnus et defensor Trinitatis. Unus ex tribus Patribus Cappadociis.";la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/whvy5Lhm/sangregorioana.png;0
281;El Espíritu Santo es Dios perfecto;Spiritus Sanctus Deus perfectus;Spiritus Sanctus Deus perfectus;San Gregorio Nacianceno;Orationes, 5,2;Gregorius Nazianzenus;"Arzobispo de Constantinopla, Doctor de la Iglesia y Padre Capadocio. Llamado ""el Teólogo"", gran orador y defensor de la Trinidad. Uno de los tres Padres Capadocios.";"Archiepiscopus Constantinopolitanus, Doctor Ecclesiae et Pater Cappadocius. ""Theologus"" vocatus, orator magnus et defensor Trinitatis. Unus ex tribus Patribus Cappadociis.";la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/whvy5Lhm/sangregorioana.png;0
282;El bautismo es iluminación del alma;Baptismus illuminatio animae;Baptismus illuminatio animae;San Gregorio Nacianceno;Orationes, 6,3;Gregorius Nazianzenus;"Arzobispo de Constantinopla, Doctor de la Iglesia y Padre Capadocio. Llamado ""el Teólogo"", gran orador y defensor de la Trinidad. Uno de los tres Padres Capadocios.";"Archiepiscopus Constantinopolitanus, Doctor Ecclesiae et Pater Cappadocius. ""Theologus"" vocatus, orator magnus et defensor Trinitatis. Unus ex tribus Patribus Cappadociis.";la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/whvy5Lhm/sangregorioana.png;0
283;El Verbo es elocuencia divina;Verbum eloquentia divina;Verbum eloquentia divina;San Gregorio Nacianceno;Orationes, 7,1;Gregorius Nazianzenus;"Arzobispo de Constantinopla, Doctor de la Iglesia y Padre Capadocio. Llamado ""el Teólogo"", gran orador y defensor de la Trinidad. Uno de los tres Padres Capadocios.";"Archiepiscopus Constantinopolitanus, Doctor Ecclesiae et Pater Cappadocius. ""Theologus"" vocatus, orator magnus et defensor Trinitatis. Unus ex tribus Patribus Cappadociis.";la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/whvy5Lhm/sangregorioana.png;0
284;La pureza del corazón es visión de Dios;Puritas cordis visio Dei;Puritas cordis visio Dei;San Gregorio Nacianceno;Orationes, 8,4;Gregorius Nazianzenus;"Arzobispo de Constantinopla, Doctor de la Iglesia y Padre Capadocio. Llamado ""el Teólogo"", gran orador y defensor de la Trinidad. Uno de los tres Padres Capadocios.";"Archiepiscopus Constantinopolitanus, Doctor Ecclesiae et Pater Cappadocius. ""Theologus"" vocatus, orator magnus et defensor Trinitatis. Unus ex tribus Patribus Cappadociis.";la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/whvy5Lhm/sangregorioana.png;0
285;La filosofía es meditación de la muerte;Philosophia meditatio mortis;Philosophia meditatio mortis;San Gregorio Nacianceno;Orationes, 9,2;Gregorius Nazianzenus;"Arzobispo de Constantinopla, Doctor de la Iglesia y Padre Capadocio. Llamado ""el Teólogo"", gran orador y defensor de la Trinidad. Uno de los tres Padres Capadocios.";"Archiepiscopus Constantinopolitanus, Doctor Ecclesiae et Pater Cappadocius. ""Theologus"" vocatus, orator magnus et defensor Trinitatis. Unus ex tribus Patribus Cappadociis.";la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/whvy5Lhm/sangregorioana.png;0
286;La amistad es imagen de la Trinidad;Amicitia imago Trinitatis;Amicitia imago Trinitatis;San Gregorio Nacianceno;Orationes, 10,3;Gregorius Nazianzenus;"Arzobispo de Constantinopla, Doctor de la Iglesia y Padre Capadocio. Llamado ""el Teólogo"", gran orador y defensor de la Trinidad. Uno de los tres Padres Capadocios.";"Archiepiscopus Constantinopolitanus, Doctor Ecclesiae et Pater Cappadocius. ""Theologus"" vocatus, orator magnus et defensor Trinitatis. Unus ex tribus Patribus Cappadociis.";la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/whvy5Lhm/sangregorioana.png;0
287;El hombre es imagen de Dios;Homo imago Dei;Homo imago Dei;San Gregorio de Nisa;De hominis opificio, 1;Gregorius Nyssenus;Obispo de Nisa, Doctor de la Iglesia y Padre Capadocio. Hermano de San Basilio Magno, teólogo místico y filósofo cristiano. Uno de los tres Padres Capadocios.;Episcopus Nyssenus, Doctor Ecclesiae et Pater Cappadocius. Frater Sancti Basilii Magni, theologus mysticus et philosophus Christianus. Unus ex tribus Patribus Cappadociis.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/LXBmwpy1/sangregorioniza.png;0
288;Progreso perpetuo hacia Dios;Perpetua progressio ad Deum;Perpetua progressio ad Deum;San Gregorio de Nisa;De hominis opificio, 2;Gregorius Nyssenus;Obispo de Nisa, Doctor de la Iglesia y Padre Capadocio. Hermano de San Basilio Magno, teólogo místico y filósofo cristiano. Uno de los tres Padres Capadocios.;Episcopus Nyssenus, Doctor Ecclesiae et Pater Cappadocius. Frater Sancti Basilii Magni, theologus mysticus et philosophus Christianus. Unus ex tribus Patribus Cappadociis.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/LXBmwpy1/sangregorioniza.png;0
289;El alma siempre asciende;Anima semper ascendit;Anima semper ascendit;San Gregorio de Nisa;De anima, 1;Gregorius Nyssenus;Obispo de Nisa, Doctor de la Iglesia y Padre Capadocio. Hermano de San Basilio Magno, teólogo místico y filósofo cristiano. Uno de los tres Padres Capadocios.;Episcopus Nyssenus, Doctor Ecclesiae et Pater Cappadocius. Frater Sancti Basilii Magni, theologus mysticus et philosophus Christianus. Unus ex tribus Patribus Cappadociis.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/LXBmwpy1/sangregorioniza.png;0
290;La virginidad es vida angélica;Virginitas vita angelica;Virginitas vita angelica;San Gregorio de Nisa;De virginitate, 1;Gregorius Nyssenus;Obispo de Nisa, Doctor de la Iglesia y Padre Capadocio. Hermano de San Basilio Magno, teólogo místico y filósofo cristiano. Uno de los tres Padres Capadocios.;Episcopus Nyssenus, Doctor Ecclesiae et Pater Cappadocius. Frater Sancti Basilii Magni, theologus mysticus et philosophus Christianus. Unus ex tribus Patribus Cappadociis.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/LXBmwpy1/sangregorioniza.png;0
291;Contemplación de la belleza divina;Contemplatio divinae pulchritudinis;Contemplatio divinae pulchritudinis;San Gregorio de Nisa;De vita contemplativa, 3;Gregorius Nyssenus;Obispo de Nisa, Doctor de la Iglesia y Padre Capadocio. Hermano de San Basilio Magno, teólogo místico y filósofo cristiano. Uno de los tres Padres Capadocios.;Episcopus Nyssenus, Doctor Ecclesiae et Pater Cappadocius. Frater Sancti Basilii Magni, theologus mysticus et philosophus Christianus. Unus ex tribus Patribus Cappadociis.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/LXBmwpy1/sangregorioniza.png;0
292;Dios es incomprensible;Deus incomprehensibilis;Deus incomprehensibilis;San Gregorio de Nisa;Orationes catecheticae, 2;Gregorius Nyssenus;Obispo de Nisa, Doctor de la Iglesia y Padre Capadocio. Hermano de San Basilio Magno, teólogo místico y filósofo cristiano. Uno de los tres Padres Capadocios.;Episcopus Nyssenus, Doctor Ecclesiae et Pater Cappadocius. Frater Sancti Basilii Magni, theologus mysticus et philosophus Christianus. Unus ex tribus Patribus Cappadociis.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/LXBmwpy1/sangregorioniza.png;0
293;La libertad es perfección de la naturaleza;Libertas perfectio naturae;Libertas perfectio naturae;San Gregorio de Nisa;De hominis opificio, 4;Gregorius Nyssenus;Obispo de Nisa, Doctor de la Iglesia y Padre Capadocio. Hermano de San Basilio Magno, teólogo místico y filósofo cristiano. Uno de los tres Padres Capadocios.;Episcopus Nyssenus, Doctor Ecclesiae et Pater Cappadocius. Frater Sancti Basilii Magni, theologus mysticus et philosophus Christianus. Unus ex tribus Patribus Cappadociis.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/LXBmwpy1/sangregorioniza.png;0
294;La resurrección es restauración de la imagen;Resurrectio restauratio imaginis;Resurrectio restauratio imaginis;San Gregorio de Nisa;De resurrectione, 1;Gregorius Nyssenus;Obispo de Nisa, Doctor de la Iglesia y Padre Capadocio. Hermano de San Basilio Magno, teólogo místico y filósofo cristiano. Uno de los tres Padres Capadocios.;Episcopus Nyssenus, Doctor Ecclesiae et Pater Cappadocius. Frater Sancti Basilii Magni, theologus mysticus et philosophus Christianus. Unus ex tribus Patribus Cappadociis.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/LXBmwpy1/sangregorioniza.png;0
295;Ascenso místico hacia la luz;Mysticus ascensus ad lucem;Mysticus ascensus ad lucem;San Gregorio de Nisa;De anima, 3;Gregorius Nyssenus;Obispo de Nisa, Doctor de la Iglesia y Padre Capadocio. Hermano de San Basilio Magno, teólogo místico y filósofo cristiano. Uno de los tres Padres Capadocios.;Episcopus Nyssenus, Doctor Ecclesiae et Pater Cappadocius. Frater Sancti Basilii Magni, theologus mysticus et philosophus Christianus. Unus ex tribus Patribus Cappadociis.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/LXBmwpy1/sangregorioniza.png;0
296;El amor es deseo infinito;Amor desiderium infinitum;Amor desiderium infinitum;San Gregorio de Nisa;De vita contemplativa, 5;Gregorius Nyssenus;Obispo de Nisa, Doctor de la Iglesia y Padre Capadocio. Hermano de San Basilio Magno, teólogo místico y filósofo cristiano. Uno de los tres Padres Capadocios.;Episcopus Nyssenus, Doctor Ecclesiae et Pater Cappadocius. Frater Sancti Basilii Magni, theologus mysticus et philosophus Christianus. Unus ex tribus Patribus Cappadociis.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/LXBmwpy1/sangregorioniza.png;0
297;El emperador está dentro de la Iglesia, no sobre ella;Imperator intra Ecclesiam, non supra Ecclesiam est;Imperator intra Ecclesiam, non supra Ecclesiam est;San Ambrosio;De officiis ministrorum, 1;Ambrosius Mediolanensis;Obispo de Milán, Doctor de la Iglesia y Padre Latino. Maestro de San Agustín, defensor de la ortodoxia y autoridad moral frente al poder imperial.;Episcopus Mediolanensis, Doctor Ecclesiae et Pater Latinus. Magister Sancti Augustini, orthodoxiae defensor et auctoritas moralis contra imperium.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/yncvTttZ/sanambrosio.png;0
298;Donde hay fe, hay libertad;Ubi fides, ibi libertas;Ubi fides, ibi libertas;San Ambrosio;De fide, 1;Ambrosius Mediolanensis;Obispo de Milán, Doctor de la Iglesia y Padre Latino. Maestro de San Agustín, defensor de la ortodoxia y autoridad moral frente al poder imperial.;Episcopus Mediolanensis, Doctor Ecclesiae et Pater Latinus. Magister Sancti Augustini, orthodoxiae defensor et auctoritas moralis contra imperium.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/yncvTttZ/sanambrosio.png;0
299;El salmo es bendición del pueblo;Psalmus benedictio populi;Psalmus benedictio populi;San Ambrosio;Expositio psalmorum, 1;Ambrosius Mediolanensis;Obispo de Milán, Doctor de la Iglesia y Padre Latino. Maestro de San Agustín, defensor de la ortodoxia y autoridad moral frente al poder imperial.;Episcopus Mediolanensis, Doctor Ecclesiae et Pater Latinus. Magister Sancti Augustini, orthodoxiae defensor et auctoritas moralis contra imperium.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/yncvTttZ/sanambrosio.png;0
300;La Eucaristía es pan de ángeles;Eucharistia panis angelorum;Eucharistia panis angelorum;San Ambrosio;De sacramentis, 1;Ambrosius Mediolanensis;Obispo de Milán, Doctor de la Iglesia y Padre Latino. Maestro de San Agustín, defensor de la ortodoxia y autoridad moral frente al poder imperial.;Episcopus Mediolanensis, Doctor Ecclesiae et Pater Latinus. Magister Sancti Augustini, orthodoxiae defensor et auctoritas moralis contra imperium.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/yncvTttZ/sanambrosio.png;0
301;No agradó a Dios salvar a su pueblo por la dialéctica;Non in dialectica complacuit Deo salvum facere populum suum;Non in dialectica complacuit Deo salvum facere populum suum;San Ambrosio;De officiis ministrorum, 2;Ambrosius Mediolanensis;Obispo de Milán, Doctor de la Iglesia y Padre Latino. Maestro de San Agustín, defensor de la ortodoxia y autoridad moral frente al poder imperial.;Episcopus Mediolanensis, Doctor Ecclesiae et Pater Latinus. Magister Sancti Augustini, orthodoxiae defensor et auctoritas moralis contra imperium.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/yncvTttZ/sanambrosio.png;0
302;La penitencia es segunda tabla tras el naufragio;Poenitentia secunda tabula post naufragium;Poenitentia secunda tabula post naufragium;San Ambrosio;De poenitentia, 1;Ambrosius Mediolanensis;Obispo de Milán, Doctor de la Iglesia y Padre Latino. Maestro de San Agustín, defensor de la ortodoxia y autoridad moral frente al poder imperial.;Episcopus Mediolanensis, Doctor Ecclesiae et Pater Latinus. Magister Sancti Augustini, orthodoxiae defensor et auctoritas moralis contra imperium.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/yncvTttZ/sanambrosio.png;0
303;La justicia hacia Dios se llama piedad;Iustitia erga Deum pietas dicitur;Iustitia erga Deum pietas dicitur;San Ambrosio;De officiis ministrorum, 3;Ambrosius Mediolanensis;Obispo de Milán, Doctor de la Iglesia y Padre Latino. Maestro de San Agustín, defensor de la ortodoxia y autoridad moral frente al poder imperial.;Episcopus Mediolanensis, Doctor Ecclesiae et Pater Latinus. Magister Sancti Augustini, orthodoxiae defensor et auctoritas moralis contra imperium.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/yncvTttZ/sanambrosio.png;0
304;El himno es cántico espiritual;Hymnus canticorum spiritualium;Hymnus canticorum spiritualium;San Ambrosio;De hymnis, 1;Ambrosius Mediolanensis;Obispo de Milán, Doctor de la Iglesia y Padre Latino. Maestro de San Agustín, defensor de la ortodoxia y autoridad moral frente al poder imperial.;Episcopus Mediolanensis, Doctor Ecclesiae et Pater Latinus. Magister Sancti Augustini, orthodoxiae defensor et auctoritas moralis contra imperium.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/yncvTttZ/sanambrosio.png;0
305;Cristo resucitó, nuestra esperanza;Christus resurrexit, spes nostra;Christus resurrexit, spes nostra;San Ambrosio;De resurrectione, 1;Ambrosius Mediolanensis;Obispo de Milán, Doctor de la Iglesia y Padre Latino. Maestro de San Agustín, defensor de la ortodoxia y autoridad moral frente al poder imperial.;Episcopus Mediolanensis, Doctor Ecclesiae et Pater Latinus. Magister Sancti Augustini, orthodoxiae defensor et auctoritas moralis contra imperium.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/yncvTttZ/sanambrosio.png;0
306;La fe busca, el intelecto encuentra;Fides quaerit, intellectus invenit;Fides quaerit, intellectus invenit;San Ambrosio;De fide, 2;Ambrosius Mediolanensis;Obispo de Milán, Doctor de la Iglesia y Padre Latino. Maestro de San Agustín, defensor de la ortodoxia y autoridad moral frente al poder imperial.;Episcopus Mediolanensis, Doctor Ecclesiae et Pater Latinus. Magister Sancti Augustini, orthodoxiae defensor et auctoritas moralis contra imperium.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/yncvTttZ/sanambrosio.png;0
307;Ignorar las Escrituras es ignorar a Cristo;Ignoratio Scripturarum ignoratio Christi est;Ignoratio Scripturarum ignoratio Christi est;San Jerónimo;Epistulae, 22;Hieronymus Stridonensis;Padre y Doctor de la Iglesia, traductor de la Biblia al latín (Vulgata). Erudito políglota, asceta y polemista, patrono de los traductores.;Pater et Doctor Ecclesiae, translator Bibliae in Latinum (Vulgata). Eruditus polyglottus, asceta et polemista, patronus interpretum.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/HDVQmSDL/sanjeronimo.png;0
308;Las riquezas o sirven o dominan;Divitiae aut serviunt aut dominantur;Divitiae aut serviunt aut dominantur;San Jerónimo;Epistulae, 22;Hieronymus Stridonensis;Padre y Doctor de la Iglesia, traductor de la Biblia al latín (Vulgata). Erudito políglota, asceta y polemista, patrono de los traductores.;Pater et Doctor Ecclesiae, translator Bibliae in Latinum (Vulgata). Eruditus polyglottus, asceta et polemista, patronus interpretum.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/HDVQmSDL/sanjeronimo.png;0
309;Ama la ciencia de las Escrituras y no amarás los vicios de la carne;Ama scientiam Scripturarum et carnis vitia non amabis;Ama scientiam Scripturarum et carnis vitia non amabis;San Jerónimo;Epistulae, 22;Hieronymus Stridonensis;Padre y Doctor de la Iglesia, traductor de la Biblia al latín (Vulgata). Erudito políglota, asceta y polemista, patrono de los traductores.;Pater et Doctor Ecclesiae, translator Bibliae in Latinum (Vulgata). Eruditus polyglottus, asceta et polemista, patronus interpretum.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/HDVQmSDL/sanjeronimo.png;0
310;La soledad del cielo es paraíso;Solitudo coeli est paradisus;Solitudo coeli est paradisus;San Jerónimo;Epistulae, 22;Hieronymus Stridonensis;Padre y Doctor de la Iglesia, traductor de la Biblia al latín (Vulgata). Erudito políglota, asceta y polemista, patrono de los traductores.;Pater et Doctor Ecclesiae, translator Bibliae in Latinum (Vulgata). Eruditus polyglottus, asceta et polemista, patronus interpretum.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/HDVQmSDL/sanjeronimo.png;0
311;La verdad no se avergüenza;Veritas non erubescit;Veritas non erubescit;San Jerónimo;Epistulae, 22;Hieronymus Stridonensis;Padre y Doctor de la Iglesia, traductor de la Biblia al latín (Vulgata). Erudito políglota, asceta y polemista, patrono de los traductores.;Pater et Doctor Ecclesiae, translator Bibliae in Latinum (Vulgata). Eruditus polyglottus, asceta et polemista, patronus interpretum.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/HDVQmSDL/sanjeronimo.png;0
312;Con el sudor de tu rostro comerás tu pan;In sudore vultus tui vesceris pane tuo;In sudore vultus tui vesceris pane tuo;San Jerónimo;Epistulae, 22;Hieronymus Stridonensis;Padre y Doctor de la Iglesia, traductor de la Biblia al latín (Vulgata). Erudito políglota, asceta y polemista, patrono de los traductores.;Pater et Doctor Ecclesiae, translator Bibliae in Latinum (Vulgata). Eruditus polyglottus, asceta et polemista, patronus interpretum.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/HDVQmSDL/sanjeronimo.png;0
313;Lee, ora, trabaja;Lege, ora, labora;Lege, ora, labora;San Jerónimo;Epistulae, 22;Hieronymus Stridonensis;Padre y Doctor de la Iglesia, traductor de la Biblia al latín (Vulgata). Erudito políglota, asceta y polemista, patrono de los traductores.;Pater et Doctor Ecclesiae, translator Bibliae in Latinum (Vulgata). Eruditus polyglottus, asceta et polemista, patronus interpretum.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/HDVQmSDL/sanjeronimo.png;0
314;Fácil es despreciar los placeres en el desierto;Facile est contemptorem esse deliciarum in deserto;Facile est contemptorem esse deliciarum in deserto;San Jerónimo;Epistulae, 22;Hieronymus Stridonensis;Padre y Doctor de la Iglesia, traductor de la Biblia al latín (Vulgata). Erudito políglota, asceta y polemista, patrono de los traductores.;Pater et Doctor Ecclesiae, translator Bibliae in Latinum (Vulgata). Eruditus polyglottus, asceta et polemista, patronus interpretum.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/HDVQmSDL/sanjeronimo.png;0
315;La carta es indicio del alma;Epistula animi indicium;Epistula animi indicium;San Jerónimo;Epistulae, 22;Hieronymus Stridonensis;Padre y Doctor de la Iglesia, traductor de la Biblia al latín (Vulgata). Erudito políglota, asceta y polemista, patrono de los traductores.;Pater et Doctor Ecclesiae, translator Bibliae in Latinum (Vulgata). Eruditus polyglottus, asceta et polemista, patronus interpretum.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/HDVQmSDL/sanjeronimo.png;0
316;La vida del monje es cruz cotidiana;Vita monachi crux quotidiana;Vita monachi crux quotidiana;San Jerónimo;Epistulae, 22;Hieronymus Stridonensis;Padre y Doctor de la Iglesia, traductor de la Biblia al latín (Vulgata). Erudito políglota, asceta y polemista, patrono de los traductores.;Pater et Doctor Ecclesiae, translator Bibliae in Latinum (Vulgata). Eruditus polyglottus, asceta et polemista, patronus interpretum.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/HDVQmSDL/sanjeronimo.png;0
317;Reconoce, oh cristiano, tu dignidad;Agnosce, o Christiane, dignitatem tuam;Agnosce, o Christiane, dignitatem tuam;San León Magno;Sermones, 1;Leo Magnus;Papa, Doctor de la Iglesia. Convocó el Concilio de Calcedonia, detuvo a Atila en las puertas de Roma. Defensor de la primacía papal y la cristología ortodoxa.;Papa, Doctor Ecclesiae. Concilium Chalcedonense convocavit, Attilam ad portas Romae inhibuit. Primatus papalis et christologiae orthodoxae defensor.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/63WDrBK/sanleonmagno.png;0
318;Te has hecho partícipe de la naturaleza divina;Particeps divinae naturae factus es;Particeps divinae naturae factus es;San León Magno;Sermones, 1;Leo Magnus;Papa, Doctor de la Iglesia. Convocó el Concilio de Calcedonia, detuvo a Atila en las puertas de Roma. Defensor de la primacía papal y la cristología ortodoxa.;Papa, Doctor Ecclesiae. Concilium Chalcedonense convocavit, Attilam ad portas Romae inhibuit. Primatus papalis et christologiae orthodoxae defensor.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/63WDrBK/sanleonmagno.png;0
319;Cristo es verdadero Dios, verdadero hombre;Christus verus Deus, verus homo;Christus verus Deus, verus homo;San León Magno;Sermones, 1;Leo Magnus;Papa, Doctor de la Iglesia. Convocó el Concilio de Calcedonia, detuvo a Atila en las puertas de Roma. Defensor de la primacía papal y la cristología ortodoxa.;Papa, Doctor Ecclesiae. Concilium Chalcedonense convocavit, Attilam ad portas Romae inhibuit. Primatus papalis et christologiae orthodoxae defensor.;la;Latín;Lingua Latina;Roma;Roma;Edad Antigua;Antiquitas;https://i.ibb.co/63WDrBK/sanleonmagno.png;0
